"Track","Artists","Genres"
"Music Sounds Better With You - Radio Edit","Stardust;Benjamin Diamond;Alan Braxe;Thomas Bangalter","french house"
"Runnin' Thru the 7th with My Woadies","$uicideboy$;Pouya","dark trap;emo rap;horrorcore;punk rap;cloud rap;underground hip hop"
"One Dance","Drake;Wizkid;Kyla","rap;hip hop;afrobeats;afrobeat;afropop;azonto;afroswing;afropiano"
"Studio","ScHoolboy Q;BJ The Chicago Kid","neo soul"
"Faygo Dreams","6 Dogs","cloud rap;emo rap;melodic rap"
"Cheri Cheri Lady","Modern Talking","italo disco;europop;eurodance"
"Taste (feat. Offset)","Tyga;Offset",""
"Controlla","Drake","rap;hip hop"
"That’s How You Feel","Drake","rap;hip hop"
"Sooner Than Later","Drake","rap;hip hop"
"Ashes","BONES","dark trap;cloud rap;emo rap;horrorcore;underground hip hop;punk rap"
"Zaalima","Arijit Singh;Harshdeep Kaur","hindi pop;bollywood;desi;bangla pop"
"Loyal (feat. Lil Wayne & Tyga)","Chris Brown;Lil Wayne;Tyga","r&b;rap;hip hop"
"Know Yourself","Drake","rap;hip hop"
"Safe and Sound","Capital Cities",""
"Saint","Huncho Jack;Travis Scott;Quavo","rap"
"Mob Ties","Drake","rap;hip hop"
"Noticed","Lil Mosey","melodic rap"
"A Keeper","Drake","rap;hip hop"
"9","Drake","rap;hip hop"
"LOYAL (feat. Drake)","PARTYNEXTDOOR;Drake","r&b;rap;hip hop"
"Kamikaze","Lil Mosey","melodic rap"
"Redbone","Childish Gambino",""
"Roll in Peace (feat. XXXTENTACION)","Kodak Black;XXXTENTACION","emo rap"
"Pound Cake / Paris Morton Music 2","Drake;JAY-Z","rap;hip hop;east coast hip hop"
"Who Can It Be Now?","Men At Work",""
"Weekend (feat. Miguel)","Mac Miller;Miguel","r&b"
"Fuck It Up (feat. Mike Sherm)","Shoreline Mafia;Mike Sherm;Fenix Flexin","hyphy"
"welcome and goodbye","Dream, Ivory",""
"Down With Me","Lil Tecca","melodic rap;rap"
"Sure Thing","Miguel","r&b"
"Oprah's Bank Account (Lil Yachty & DaBaby feat. Drake)","Lil Yachty;DaBaby;Drake","rap;hip hop"
"Cardigan","Don Toliver",""
"Porsches In The Rain","YBN Nahmir;Almighty Jay",""
"Wish (feat. Trippie Redd) - Trippie Mix","Diplo;Trippie Redd","moombahton;melodic rap"
"Lonely","Speaker Knockerz",""
"Post to Be (feat. Chris Brown & Jhene Aiko)","Omarion;Chris Brown;Jhené Aiko","r&b"
"BAD TIME","Lil Tecca","melodic rap;rap"
"Superman (feat. Fenix Flexin)","RONRONTHEPRODUCER;Fenix Flexin","west coast hip hop"
"Both Sides (feat. Shoreline Mafia)","Shordie Shordie;Shoreline Mafia",""
"Do Not Disturb","Drake","rap;hip hop"
"From Time","Drake;Jhené Aiko","rap;hip hop;r&b"
"4422","Drake;Sampha","rap;hip hop"
"Girls Want Girls (with Lil Baby)","Drake;Lil Baby","rap;hip hop"
"Secret Service","OHGEESY",""
"All The Stars (with SZA)","Kendrick Lamar;SZA","hip hop;west coast hip hop;r&b"
"Lil Boat","88GLAM","melodic rap"
"Waves","Kanye West","rap"
"DOLLAZ ON MY HEAD (feat. Young Thug)","Gunna;Young Thug","melodic rap;rap;trap"
"Lean Wit Me","Juice WRLD","melodic rap;emo rap"
"NUMBER 2","Lil Tecca","melodic rap;rap"
"PELIGROSA","FloyyMenor","reggaeton chileno"
"How Deep Is Your Love","Calvin Harris;Disciples","edm;house"
"Broke In A Minute","Tory Lanez",""
"Pull Up","Lil Mosey","melodic rap"
"Touchdown","Peso Peso;Fenix Flexin","mexican hip hop"
"Time Flies","Drake","rap;hip hop"
"Aston Martin Music","Rick Ross;Drake;Chrisette Michele","southern hip hop;rap;hip hop;neo soul;jersey club;r&b"
