"Track","Artists","Genres"
"Flocky Flocky (feat. Travis Scott)","Don Toliver;Travis Scott","rap"
"Bus Stop (feat. Brent Faiyaz)","Don Toliver;Brent Faiyaz","r&b"
"I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy)","Lil Peep;ILOVEMAKONNEN;Fall Out Boy","emo rap;cloud rap;emo;pop punk;emo pop"
"BOOGIE","BROCKHAMPTON",""
"OUTERSPACE (feat. Baby Keem)","Don Toliver;Baby Keem",""
"LUV 4 YA","Destroy Lonely","rage rap"
"Photo Copied","Future","rap"
"The Best Part of Life","SAINt JHN",""
"ATTITUDE (FEAT. CHARLIE WILSON & CASH COBAIN)","Don Toliver;Charlie Wilson;Cash Cobain","sexy drill;jersey club"
"Mi Gente","J Balvin;Willy William","reggaeton;latin"
"Vicodin","NAV","melodic rap"
"5unna","Homixide Gang;R5 Homixide","rage rap"
"Sundress","A$AP Rocky","rap"
"Take A Step Back","Ski Mask The Slump God;XXXTENTACION","emo rap"
"Work Out","J. Cole","rap"
"Heartless","Kanye West","rap"
"DNA.","Kendrick Lamar","hip hop;west coast hip hop"
"American Boy","Estelle;Kanye West","rap"
"Good Luck, Babe!","Chappell Roan",""
"Hate Bein' Sober","Chief Keef;50 Cent;Wiz Khalifa","drill;east coast hip hop;rap"
"Patience (feat. Don Toliver)","Lil Uzi Vert;Don Toliver","melodic rap"
"Virginia Beach","Drake","rap;hip hop"
"R.I.P. Fredo (feat. Young Nudy) - Notice Me","Playboi Carti;Young Nudy","rage rap"
"Snooze","SZA","r&b"
"Ambition For Cash","Key Glock","memphis rap"
"Myself","Bazzi",""
"2024","Playboi Carti","rage rap"
"x2","Lil Uzi Vert","melodic rap"
"Trap Anthem","MC Virgins;Yun Head","meme rap;anime;anime rap"
"Punk Monk","Playboi Carti","rage rap"
"Locked out of Heaven","Bruno Mars",""
"NC-17","Travis Scott","rap"
"Buck Shots","A$AP Rocky","rap"
"They Don't Care About Us","Michael Jackson",""
"OVERLY","Playboi Carti","rage rap"
"JumpOutTheHouse","Playboi Carti","rage rap"
"In My Room (feat. SHELLS)","Dombresky;SHELLS","bass house;tech house;house;g-house;latin house;deep house;stutter house"
"F33l Lik3 Dyin","Playboi Carti","rage rap"
"No Mistakes","Kanye West","rap"
"Cancun - Sega Edition","ST4RL1GHT;Kareem Nova",""
"WAIT FOR U (feat. Drake & Tems)","Future;Drake;Tems","rap;hip hop;afrobeats;alté;afrobeat"
"Rent Money","Future","rap"
"Give It To Me - Full Vocal Mix","Matt Sassari","tech house"
"Hard To Choose One","Future","rap"
"Hurricane","Kanye West","rap"
"SIRENS","Travis Scott","rap"
"Moonlight","XXXTENTACION","emo rap"
"Yacht Club (feat. Juice WRLD)","Lil Yachty;Juice WRLD","melodic rap;emo rap"
"No Role Modelz","J. Cole","rap"
"Hurt From Mercury","Tory Lanez",""
"wonderful","Travis Scott","rap"
"Kiss Me Thru The Phone","Soulja Boy;Sammie",""
"Beno!","Playboi Carti","rage rap"
"FRANCHISE (feat. Young Thug & M.I.A.)","Travis Scott;Young Thug;M.I.A.","rap;melodic rap;trap"
"Teen X (feat. Future)","Playboi Carti;Future","rage rap;rap"
"Robbery","Juice WRLD","melodic rap;emo rap"
"range brothers (with Kendrick Lamar)","Baby Keem;Kendrick Lamar","hip hop;west coast hip hop"
