"Track","Artists","Genres"
"Light Year (Practice)","Lil Uzi Vert","melodic rap"
"Fried (She a Vibe)","Future;Metro Boomin","rap"
"Jealous","Future;Metro Boomin","rap"
"Solitaires (feat. Travis Scott)","Future;Travis Scott","rap"
"Lucid Dreams","Juice WRLD","melodic rap;emo rap"
"Broke Boi","Playboi Carti","rage rap"
"Mama, I’m Sorry","Lil Uzi Vert","melodic rap"
"Again","Fetty Wap",""
"RIP Roach","XXXTENTACION;Ski Mask The Slump God","emo rap"
"Heart In Pieces","Future;Lil Uzi Vert","rap;melodic rap"
"Till I Die","Ken Carson","rage rap"
"Pull Up","Playboi Carti","rage rap"
"Venetia","Lil Uzi Vert","melodic rap"
"Repeat","citimall","indian indie;hindi indie;desi hip hop;hindi hip hop"
"Money Spread (feat. Young Nudy)","Lil Uzi Vert;Young Nudy","melodic rap"
"PICK IT UP (feat. A$AP Rocky)","Famous Dex;A$AP Rocky","rap"
"That Way - Bonus Track","Lil Uzi Vert","melodic rap"
"Friday","Rebecca Black","hyperpop"
"Money Trees","Kendrick Lamar;Jay Rock","hip hop;west coast hip hop"
"High as Sh!T","Ken Carson","rage rap"
"Fashion Killa","A$AP Rocky","rap"
"CHARGE DEM HOES A FEE (with Future & Travis Scott)","Playboi Carti;Future;Travis Scott","rage rap;rap"
"Everybody (Backstreet's Back) - Radio Edit","Backstreet Boys",""
"wokeuplikethis*","Playboi Carti;Lil Uzi Vert","rage rap;melodic rap"
"MOJO JOJO","Playboi Carti","rage rap"
"Turn Your Phone Off","PinkPantheress;Destroy Lonely","bedroom pop;rage rap"
"Canadian Goose","Lil Uzi Vert","melodic rap"
"Homecoming","Lil Uzi Vert","melodic rap"
"Me N My Kup","Ken Carson","rage rap"
"Enter Galactic (Love Connection Part I)","Kid Cudi",""
"You Da Baddest (feat. Nicki Minaj)","Future;Nicki Minaj","rap"
"No Time (feat. Gunna)","Playboi Carti;Gunna","rage rap;melodic rap"
"euphoria","Kendrick Lamar","hip hop;west coast hip hop"
"Rock N Roll","Ken Carson","rage rap"
"Jesus Walks","Kanye West","rap"
"Nightcrawler (feat. Swae Lee & Chief Keef)","Travis Scott;Swae Lee;Chief Keef","rap;drill"
"Hella","Ken Carson","rage rap"
"Middle Of The Summer (feat. Red Coldhearted)","Playboi Carti;Red Coldhearted","rage rap"
"Over","Playboi Carti","rage rap"
"pushin P (feat. Young Thug)","Gunna;Future;Young Thug","melodic rap;rap;trap"
"Baby Pluto","Lil Uzi Vert","melodic rap"
"Pluto to Mars","Lil Uzi Vert","melodic rap"
"New N3on","Playboi Carti","rage rap"
"Cinderella","Future;Metro Boomin;Travis Scott","rap"
"First Off (feat. Travis Scott)","Future;Travis Scott","rap"
"Strawberry Peels (feat. Young Thug & Gunna)","Lil Uzi Vert;Gunna;Young Thug","melodic rap;rap;trap"
"Erase Your Social","Lil Uzi Vert","melodic rap"
"Uproar","Lil Wayne;Swizz Beatz","rap;hip hop"
"LVL","A$AP Rocky","rap"
"SUN CAME OUT","Gunna","melodic rap"
"Mamacita (feat. Rich Homie Quan & Young Thug)","Travis Scott;Rich Homie Quan;Young Thug","rap;southern hip hop;melodic rap;trap"
"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator;GloRilla;Sexyy Red;Lil Wayne","rap;hip hop"
"mewtwo","Ken Carson","rage rap"
"Codeine Crazy","Future","rap"
"New Tank","Playboi Carti","rage rap"
"Claustrophobic","Future;Metro Boomin","rap"
"Mad Man (feat. Playboi Carti)","A$AP Ferg;Playboi Carti","rap;rage rap"
"Control","Playboi Carti","rage rap"
"ILoveUIHateU","Playboi Carti","rage rap"
"NO. 9","Playboi Carti","rage rap"
"K POP","Playboi Carti","rage rap"
"Freestyle 2","Ken Carson","rage rap"
"P2","Lil Uzi Vert","melodic rap"
"Green Room","Ken Carson","rage rap"
"Pink Pony Club","Chappell Roan",""
"Mask Off","Future","rap"
"The Art of Peer Pressure","Kendrick Lamar","hip hop;west coast hip hop"
"XO Tour Llif3","Lil Uzi Vert","melodic rap"
"Yale","Ken Carson","rage rap"
"Mona Lisa (feat. Kendrick Lamar)","Lil Wayne;Kendrick Lamar","rap;hip hop;west coast hip hop"
"Right Now (feat. Pi'erre Bourne)","Playboi Carti;Pi’erre Bourne","rage rap;melodic rap"
"Thought It Was a Drought","Future","rap"
"Atmosphere","FISHER;Kita Alexander","tech house;house;techno"
