artist,count
"Playboi Carti",88
"Lil Uzi Vert",75
"Future",46
"Kendrick Lamar",32
"Travis Scott",30
"Kanye West",24
"Ken Carson",23
"Drake",20
"A$AP Rocky",17
"XXXTENTACION",11
"Tyler, The Creator",10
"Don Toliver",10
"Young Thug",9
"Destroy Lonely",9
"Metro Boomin",8
"The Weeknd",8
"Juice WRLD",6
"Ty Dolla $ign",6
"Bazzi",6
"PinkPantheress",6
"Gunna",6
"Lil Wayne",6
"SZA",5
"Chief Keef",5
"21 Savage",5
"PARTYNEXTDOOR",5
"J. Cole",5
"Kid Cudi",5
"Bruno Mars",4
"NAV",4
"Lil Yachty",4
"¥$",4
"Eminem",4
"Baby Keem",4
"Tory Lanez",4
"Ski Mask The Slump God",3
"Lil Tecca",3
"Rihanna",3
"ian",3
"Skepta",3
"Billie Eilish",3
"Brent Faiyaz",3
"citimall",3
"Nicki Minaj",3
"The Kid LAROI",3
"Homixide Gang",2
"Empire Of The Sun",2
"WanMor",2
"A$AP Ferg",2
"Fetty Wap",2
"Young Nudy",2
"Sexyy Red",2
"Chappell Roan",2
"Yeat",2
"Masego",2
"J Balvin",2
"King Von",2
"A Boogie Wit da Hoodie",2
"Vishal-Shekhar",2
"Sunidhi Chauhan",2
"Kodak Black",2
"Frank Ocean",2
"50 Cent",2
"MC Virgins",2
"Bad Bunny",2
"NLE Choppa",2
"Justin Bieber",2
"Myles Lloyd",1
"AP Dhillon",1
"Ayra Starr",1
"MC Eiht",1
"Playboi Cartiz",1
"Young Stoner Life",1
"Meek Mill",1
"T-Shyne",1
"Latto",1
"Imogen Heap",1
"Clams Casino",1
"ScHoolboy Q",1
"Santigold",1
"ROSÉ",1
"Oliver Heldens",1
"Ian Asher",1
"Sérgio Mendes",1
"lique",1
"Daniel Caesar",1
"Charli xcx",1
"Anitta",1
"Jordindian",1
"Megan Thee Stallion",1
"Yuki Chiba",1
"Yebba",1
"Matt OX",1
"MAX",1
"JVKE",1
"Lil Durk",1
"JPEGMAFIA",1
"Miguel",1
"Yo Yo Honey Singh",1
"Neha Kakkar",1
"Jessica Pratt",1
"Travis Barker",1
"YoungBoy Never Broke Again",1
"Lady Gaga",1
"Addison Rae",1
"Akilho",1
"Shruti Pathak",1
"Salim Merchant",1
"Salaam Remi",1
"Famous Dex",1
"Rebecca Black",1
"Jay Rock",1
"Backstreet Boys",1
"Swae Lee",1
"Red Coldhearted",1
"Swizz Beatz",1
"Rich Homie Quan",1
"GloRilla",1
"Pi’erre Bourne",1
"FISHER",1
"Kita Alexander",1
"d4vd",1
"Hanumankind",1
"Kalmi",1
"Teezo Touchdown",1
"MGMT",1
"Ratatat",1
"Internet Money",1
"Mike WiLL Made-It",1
"Jhené Aiko",1
"Lil Baby",1
"Central Cee",1
"Oh Wonder",1
"GELO",1
"WizTheMc",1
"bees & honey",1
"Lupe Fiasco",1
"D.O.D",1
"Mohit Chauhan",1
"Neha Bhasin",1
"Shaan",1
"Javed Akhtar",1
"Gucci Mane",1
"Offset",1
"Sam Dew",1
"ABRA",1
"Boys Noize",1
"sped up nightcore",1
"ARIZONATEARS",1
"KK",1
"Shilpa Rao",1
"Anvita Dutt Guptan",1
"Blxst",1
"Amanda Reifer",1
"Lizzo",1
"Lefty Gunplay",1
"Mike Posner",1
"Seeb",1
"BL3SS",1
"CamrinWatsin",1
"bbyclose",1
"Ice Spice",1
"astral",1
"void",1
"mol$ archive",1
"G-Eazy",1
"Cardi B",1
"El Alfa",1
"Darell",1
"Noriel",1
"Flume",1
"Toro y Moi",1
"Madonna",1
"Wajid",1
"Suzanne D'Mello",1
"Adam Port",1
"Stryv",1
"Keinemusik",1
"Orso",1
"Malachiii",1
"Syleena Johnson",1
"Khalid",1
"The San Miguel Master Chorale",1
"Sampha",1
"Noah Cyrus",1
"Naughty Boy",1
"Sam Smith",1
"Quavo",1
"Santino Le Saint",1
"Selena Gomez",1
"benny blanco",1
"Mac Miller",1
"Maroon 5",1
"Christina Aguilera",1
"2Pac",1
"Outlawz",1
"Dom Corleo",1
"Rema",1
"Trippie Redd",1
"Yoko Gold",1
"Rick Ross",1
"USHER",1
"will.i.am",1
"Sukhwinder Singh",1
"Satya Hinduja",1
"Robert Bob Omulo",1
"iann dior",1
"Jamie Foxx",1
"2 Chainz",1
"Manak-E",1
"Selina",1
"R.D.B.",1
"Ryan Librada",1
"Declan McKenna",1
"Leven Kali",1
"Akon",1
"Iniko",1
"Tainy",1
"Syd",1
"Dominic Fike",1
"Wizkid",1
"Kyla",1
"Dwele",1
"Elley Duhé",1
"Whethan",1
"Kali Uchis",1
"A$AP Mob",1
"Big Sean",1
"Raekwon",1
"mikeeysmind",1
"Lil Peep",1
"ILOVEMAKONNEN",1
"Fall Out Boy",1
"BROCKHAMPTON",1
"SAINt JHN",1
"Charlie Wilson",1
"Cash Cobain",1
"Willy William",1
"R5 Homixide",1
"Estelle",1
"Wiz Khalifa",1
"Key Glock",1
"Yun Head",1
"Michael Jackson",1
"Dombresky",1
"SHELLS",1
"ST4RL1GHT",1
"Kareem Nova",1
"Tems",1
"Matt Sassari",1
"Soulja Boy",1
"Sammie",1
"M.I.A.",1
